Data Medicao;PRECIPITACAO TOTAL, DIARIO (AUT)(mm);PRESSAO ATMOSFERICA MEDIA DIARIA (AUT)(mB);TEMPERATURA DO PONTO DE ORVALHO MEDIA DIARIA (AUT)(°C);TEMPERATURA MAXIMA, DIARIA (AUT)(°C);TEMPERATURA MEDIA, DIARIA (AUT)(°C);TEMPERATURA MINIMA, DIARIA (AUT)(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA (AUT)(%);UMIDADE RELATIVA DO AR, MINIMA DIARIA (AUT)(%);VENTO, RAJADA MAXIMA DIARIA (AUT)(m/s);VENTO, VELOCIDADE MEDIA DIARIA (AUT)(m/s)
07/01/2014;0;886.204.167;143.125;28.9;22.816.667;16.6;61.416.667;34;9.6;2.341.667
08/01/2014;0;886.141.667;12.508.333;28.2;23.004.167;15.8;53.5;29;9.2;2.904.167
09/01/2014;0;885.516.667;12.625;28.5;23.395.833;17.5;53.125;28;8.6;28.625
10/01/2014;0;885.720.833;14.158.333;28.1;23.345.833;17.1;57.125;40;9.7;3.016.667
11/01/2014;0;8.870.125;14.754.167;29;21.795.833;16.1;65.916.667;32;9.3;2.345.833
12/01/2014;0;888.170.833;15.654.167;29.1;22.695.833;17.3;66.583.333;39;9.1;25.125
13/01/2014;0;888.85;14.991.667;29.7;24.333.333;19.2;57.958.333;33;8.3;2.483.333
14/01/2014;0;888.375;14.241.667;29.3;24.466.667;19.7;54.125;34;9.7;3.029.167
15/01/2014;0;887.491.667;14.391.667;28.8;23.025;17.4;59.625;36;10.5;18.375
16/01/2014;1.8;8.873.625;15.283.333;28.2;21.595.833;16.6;69.666.667;36;12.1;2.195.833
17/01/2014;0;8.873.625;170.125;28.3;21.079.167;18.4;79.125;46;16.3;1.825
18/01/2014;33.2;887.633.333;181.375;24.7;20.2;16.5;88.458.333;59;16.3;1.704.167
19/01/2014;10;886.325;17.920.833;25.9;19.941.667;17.7;88.833.333;56;9.5;1.620.833
20/01/2014;4.8;885.925;172.625;24;20.204.167;17.4;84.458.333;58;11.1;2.329.167
21/01/2014;1.8;886.920.833;17.116.667;26.6;20.770.833;17.7;81.291.667;53;6.6;2.025
22/01/2014;55.2;888.008.333;17.375;25.2;195.875;16.8;87.791.667;60;12.6;21.375
23/01/2014;3.8;8.873.125;17.308.333;28.3;208.125;17.2;82.5;43;10.7;1.520.833
24/01/2014;0;886.204.167;16.720.833;27.7;19.65;16.8;84.916.667;45;16.8;1.808.333
25/01/2014;19.2;885.175;158.125;25.1;19.8;15.3;79.875;51;6.1;1.675
26/01/2014;0;8.862.375;153.125;26.1;210.375;15.8;70.916.667;49;11.5;2.220.833
27/01/2014;1.2;8.878.125;16.229.167;26.4;20.183.333;16.3;80.416.667;44;12;2.070.833
28/01/2014;4.8;887.433.333;15.370.833;27.1;21.625;17.5;70.125;37;9.4;3.275
29/01/2014;0;887.516.667;13.633.333;27.4;221.375;18.3;59.291.667;39;10.6;38.625
30/01/2014;0;887.475;151.125;28.1;227.125;18.9;62.875;45;10.1;3.295.833
31/01/2014;0;887.120.833;13.8;28;22.9;18.1;57.875;35;10.3;3.8
01/02/2014;0;8.866.125;12.6;27.4;22.391.667;16.7;55.708.333;33;8.7;29.875
02/02/2014;0;885.945.833;12.333.333;27.8;21.920.833;14.8;55.833.333;39;8.7;2.483.333
03/02/2014;0;884.983.333;12.191.667;28.8;23.191.667;19.1;51.125;34;10.1;3.129.167
04/02/2014;0;885.991.667;11.85;27.9;22.829.167;17.2;51.458.333;32;9.1;2.920.833
05/02/2014;0;886.225;132.375;30;23.516.667;16.9;53.875;30;9.7;2.791.667
06/02/2014;0;886.054.167;14.475;28.5;23.395.833;18.8;58.541.667;37;10.7;3.95
07/02/2014;0;887.066.667;12.720.833;29.1;23.683.333;19.9;51.458.333;32;9.3;3.345.833
08/02/2014;0;886.920.833;13.283.333;29.3;241.125;20;51.791.667;31;8.7;2.775
09/02/2014;0;886.541.667;14.720.833;27.8;225.375;16.9;62.875;41;8.2;19.875
10/02/2014;0;8.866.625;14.366.667;28.1;22.670.833;17.8;62.333.333;32;9.5;2.629.167
11/02/2014;0;885.920.833;14.45;27.9;23.445.833;20.2;57.666.667;40;9.1;3.320.833
12/02/2014;0;885.470.833;157.375;27.7;21.8;17.2;69.625;44;6.6;2.070.833
13/02/2014;3;8.848.125;17.795.833;26.1;20.125;17.8;87.458.333;55;10.3;13.125
14/02/2014;20.8;885.5;16.683.333;27.2;21.058.333;17.2;78.333.333;47;7.7;2.095.833
15/02/2014;0;8.855.875;17.154.167;25.8;209.125;18.6;80.125;53;7.2;1.541.667
16/02/2014;4.2;885.429.167;18.566.667;25.8;20.483.333;18.7;89.5;56;7.2;1.625
17/02/2014;28.4;884.779.167;17.670.833;26.8;20.970.833;17.3;83;52;11.9;2.695.833
18/02/2014;22.2;884.645.833;18.283.333;25.1;19.841.667;17.7;91.5;58;9.6;2.066.667
19/02/2014;11.2;885.029.167;175.875;26.2;20.179.167;18.3;86.375;51;10.3;2.275
20/02/2014;11.2;885.8;17.808.333;24;20.179.167;18.1;86.958.333;62;8.9;2.491.667
21/02/2014;1.8;8.862.125;179.375;24.6;20.104.167;18.3;88.166.667;61;9.8;2.170.833
22/02/2014;7.4;8.866.625;17.566.667;25.1;201.875;18.1;85.75;62;12.1;2.329.167
23/02/2014;2.4;886.833.333;17.120.833;26.1;20.475;16.9;82.458.333;50;7.6;2.033.333
24/02/2014;.6;886.458.333;16.333.333;28.6;226.125;18;69.333.333;42;8.3;2.45
25/02/2014;11.4;887.025;17.254.167;25.9;20.708.333;16.8;82.166.667;51;15.5;1.416.667
26/02/2014;0;8.857.875;16.129.167;28;22.529.167;17.2;69.333.333;42;10.4;2.9
27/02/2014;0;8.852.875;14.066.667;29.3;22.683.333;15.6;61.583.333;28;7.8;17.625
28/02/2014;0;885.05;16.491.667;27.7;21.6;17.2;74.208.333;47;9.5;2.316.667
01/03/2014;1.6;8.853.625;16.758.333;26.6;20.504.167;17.6;80.416.667;48;8.1;2.333.333
02/03/2014;.2;884.466.667;16.95;28;21.629.167;17.2;77.25;44;7.8;20.625
03/03/2014;.8;884.645.833;175.375;25.8;21.316.667;18.4;79.75;58;8.9;2.575
04/03/2014;7.8;886.154.167;17.808.333;26.3;21.570.833;18.3;80.791.667;52;8.9;2.316.667
05/03/2014;2.6;887;19.466.667;26.8;21.158.333;19.2;90.541.667;60;8;1.6
06/03/2014;37.6;886.420.833;18.704.167;25.9;204.875;18.2;90.541.667;58;7.3;1.583.333
07/03/2014;12.6;885.633.333;186.375;26.1;20.641.667;18.4;89.375;57;11.1;23.125
08/03/2014;26.2;885.429.167;18.166.667;27.8;20.641.667;17.8;87.291.667;51;7.8;2.229.167
09/03/2014;6.4;886.283.333;18.3;25.6;206.375;17.3;87.416.667;62;6.7;2.020.833
10/03/2014;62.4;886.429.167;17.325;27.5;21.258.333;15.9;80.666.667;50;10.4;2.079.167
11/03/2014;0;8.861.125;17.241.667;27.4;21.958.333;17.4;76.25;49;8.8;2.383.333
12/03/2014;10;887.141.667;16.583.333;27.7;22.516.667;18.3;71.916.667;45;8.3;2.325
13/03/2014;0;887.708.333;14.766.667;28.4;225.375;15.1;64.25;34;8;2.645.833
14/03/2014;0;886.75;15.491.667;27.4;22.625;19.8;64.708.333;45;8.8;29.375
15/03/2014;0;886.508.333;14.6;28.3;23.283.333;19.2;59.583.333;37;9.4;2.808.333
16/03/2014;0;886.316.667;14.620.833;27.7;22.866.667;18.2;60.916.667;37;8.1;2.491.667
17/03/2014;0;886.545.833;16.258.333;26.7;21.466.667;18.2;73.541.667;52;8;20.375
18/03/2014;9;887.316.667;17.508.333;26.1;202.375;17.4;85.458.333;58;7.2;1.445.833
19/03/2014;.4;886.183.333;17.220.833;27.7;208.875;16.2;81.833.333;49;7.6;1.795.833
20/03/2014;0;885.408.333;17.541.667;28;21.833.333;16.9;78.875;45;9.4;1.329.167
21/03/2014;12.4;886.616.667;18.8;26.9;21.016.667;18.1;88.125;57;7;1.329.167
22/03/2014;12.2;887.55;18.529.167;27.6;20.616.667;18.4;89.125;54;18.5;1.858.333
23/03/2014;36.4;886.195.833;18.616.667;27.2;20.620.833;16.6;89.25;58;9.5;17.875
24/03/2014;30;887.079.167;18.625;23.3;19.983.333;18.1;92.291.667;68;8.1;2.482.609
25/03/2014;1.2;887.745.833;178.875;25.8;20.975;18.5;83.708.333;57;8.7;2.329.167
26/03/2014;3.2;887.891.667;18.491.667;26.6;21.066.667;18.7;86.708.333;53;8.1;25.375
27/03/2014;6.2;887.570.833;19.270.833;23.6;200.125;18.6;95.5;74;6.3;1.65
28/03/2014;4.2;886.525;18.175;26.1;201.125;18.2;89.5;60;6.4;1.983.333
29/03/2014;0;885.970.833;17.75;26.6;21.095.833;18.4;82.666.667;47;9.7;2.458.333
30/03/2014;1.8;886.7;17.825;25.9;20.341.667;18;86.666.667;54;9.4;2.095.833
31/03/2014;18.4;888.1;17.770.833;26.4;21.020.833;17.8;82.958.333;52;8.9;1.895.833
01/04/2014;2.8;888.008.333;18.35;27.9;21.55;18.3;84.083.333;46;6.3;1.65
02/04/2014;16.6;886.625;184.875;28.7;21.65;17.4;84.416.667;48;7.7;1.879.167
03/04/2014;6.2;886.408.333;19.225;22;19.658.333;19.3;97.458.333;76;8.4;1.408.333
04/04/2014;19.4;8.873.625;17.495.833;28.2;21.033.333;16.2;82.166.667;51;6.1;1.566.667
05/04/2014;6.4;8.880.375;18.895.833;27.8;22.283.333;19;82.875;51;7.9;2.445.833
06/04/2014;0;888.175;18.591.667;27.5;22.720.833;19.6;78.958.333;53;7.4;2.745.833
07/04/2014;0;887.091.667;18.045.833;28.8;224.125;17.7;78.708.333;43;5.9;1.704.167
08/04/2014;5.2;8.866.125;18.254.167;28;22.129.167;18.7;80.541.667;50;6.4;16.375
09/04/2014;0;886.458.333;18.304.167;28.5;23.008.333;18.7;77.083.333;48;7.2;15.625
10/04/2014;16.8;886.533.333;18.375;28.7;21.520.833;17.3;84.25;46;14.4;1.958.333
11/04/2014;20.6;887.079.167;18.316.667;28;21.775;17.1;83.083.333;47;8.7;1.779.167
12/04/2014;3.6;887.554.167;18.716.667;27.3;21.2;18.7;87.625;52;7;2.217.391
13/04/2014;26.2;886.975;17.554.167;27.9;224.125;17.7;76.916.667;47;6.9;17.875
14/04/2014;0;886.2;16.654.167;28.8;22.983.333;17.2;70.416.667;40;7.8;1.641.667
15/04/2014;0;886.15;18.179.167;28;22.420.833;18.8;78.416.667;48;8.1;2.133.333
16/04/2014;16.4;886.683.333;17.983.333;25;20.7;17.8;85.583.333;56;8.6;1.804.167
17/04/2014;0;8.864.875;17.8;27.8;21.829.167;17.6;80.333.333;45;7.6;1.791.667
18/04/2014;0;886.083.333;17.6;27.3;22.345.833;17.9;76.166.667;49;7.5;1.775
19/04/2014;0;887.2;150.625;28.6;225.875;17.3;67.291.667;30;7.7;16.125
20/04/2014;0;887.716.667;152.125;29.3;22.291.667;16.7;65.708.333;41;7.8;1.575
21/04/2014;0;886.929.167;17.016.667;27.5;22.383.333;18.9;72.416.667;52;8.4;1.95
22/04/2014;.8;886.379.167;17.566.667;28.3;22.045.833;17.6;77.875;45;11.1;2.25
23/04/2014;14.2;887.258.333;18.620.833;24.8;19.929.167;18.5;92.833.333;63;7.9;1.75
24/04/2014;23;887.079.167;17.8;24.9;20.029.167;16.2;88.083.333;64;6.3;1.479.167
25/04/2014;16.6;885.458.333;183.375;26.7;20.525;18.2;88.666.667;55;8.4;1.734.783
26/04/2014;23.2;885.858.333;17.166.667;26.2;208.375;17.6;81.333.333;52;6.7;19.625
27/04/2014;0;887.25;16.266.667;26.2;21.008.333;17.4;76.25;47;6.6;2.266.667
28/04/2014;0;888.808.333;13.779.167;25;202.625;16.5;68.041.667;41;8.7;2.845.833
29/04/2014;0;888.829.167;11.795.833;23.4;18.516.667;14.5;66.5;43;8.9;3.075
30/04/2014;0;886.966.667;9.829.167;23.9;18.533.333;14.2;57.958.333;37;9.9;3.633.333
01/05/2014;0;886.616.667;10.541.667;25.8;18.779.167;10.8;62.083.333;32;6.9;1.8
02/05/2014;0;887.783.333;11.020.833;26.2;19.875;12;59.416.667;31;6.8;2.05
03/05/2014;0;8.891.625;11.379.167;26.2;19.833.333;12.3;59.708.333;39;8.1;2.545.833
04/05/2014;0;889.404.167;121.875;26.1;20.566.667;15.8;59.916.667;40;7.5;2.529.167
05/05/2014;0;888.504.167;13.170.833;25.7;197.625;13.5;68.166.667;39;7.3;1.791.667
06/05/2014;0;888.520.833;13.454.167;26;20.35;14.8;67.333.333;38;7.5;20.375
07/05/2014;0;889.241.667;13.545.833;26.4;20.445.833;13.8;66.916.667;38;7.3;20.125
08/05/2014;0;888.554.167;163.375;24.8;20.558.333;16.3;78.125;53;6.9;16.625
09/05/2014;0;886.225;15.975;26.3;20.945.833;16.6;75.25;47;6.3;1.166.667
10/05/2014;0;886.208.333;13.204.167;26.5;20.804.167;16.5;63.166.667;39;6.3;1.858.333
11/05/2014;0;887.679.167;13.204.167;26.5;19.829.167;14.5;66.583.333;48;8.2;2.545.833
12/05/2014;0;8.882.375;135.375;23.8;19.416.667;15.2;69.625;52;9.1;3.216.667
13/05/2014;0;888.125;124.375;23.9;18.908.333;14.7;67.5;45;7.3;2.216.667
14/05/2014;0;888.083.333;99.375;25.1;18.883.333;12;58.583.333;32;7.1;2.095.833
15/05/2014;0;887.916.667;10.691.667;27.4;194.125;12.1;60.833.333;27;6.5;17.625
16/05/2014;0;886.658.333;12.958.333;27;203.375;13.1;65.125;42;6.1;1.479.167
17/05/2014;0;886.616.667;138.625;26.8;21.25;14.8;64.625;42;6.7;1.833.333
18/05/2014;0;887.1;14.329.167;27.7;22.004.167;17.1;62.208.333;44;5.9;18.625
19/05/2014;0;887.625;157.625;27.1;21.775;16.8;70.208.333;46;6.1;1.970.833
20/05/2014;0;8.876.875;13.854.167;25.8;21.795.833;19;61.583.333;43;7.8;2.570.833
21/05/2014;0;886.804.167;12.158.333;27.2;20.658.333;14;60.166.667;35;8.9;2.141.667
22/05/2014;0;887.266.667;12.004.167;27.5;209.625;14.4;58.958.333;34;5.5;1.533.333
23/05/2014;0;888.158.333;129.875;28.5;21.408.333;15.3;61.833.333;32;6;.9875
24/05/2014;0;888.116.667;15.495.833;27.6;21.35;16.5;71;44;6.8;1.933.333
25/05/2014;0;887.216.667;150.375;28.5;222.125;18;65.708.333;38;9.1;2.120.833
26/05/2014;0;888.4;15.620.833;27.5;209.625;16.4;72.625;46;5.3;1.316.667
27/05/2014;2.4;888.516.667;17.654.167;25.2;20.208.333;17.4;86.541.667;62;5.8;1.479.167
28/05/2014;0;887.804.167;111.125;26.7;20.133.333;13.7;60.208.333;26;8.6;2.145.833
