Data Medicao;PRECIPITACAO TOTAL, DIARIO (AUT)(mm);PRESSAO ATMOSFERICA MEDIA DIARIA (AUT)(mB);TEMPERATURA DO PONTO DE ORVALHO MEDIA DIARIA (AUT)(°C);TEMPERATURA MAXIMA, DIARIA (AUT)(°C);TEMPERATURA MEDIA, DIARIA (AUT)(°C);TEMPERATURA MINIMA, DIARIA (AUT)(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA (AUT)(%);UMIDADE RELATIVA DO AR, MINIMA DIARIA (AUT)(%);VENTO, RAJADA MAXIMA DIARIA (AUT)(m/s);VENTO, VELOCIDADE MEDIA DIARIA (AUT)(m/s)
07/01/2014;0;886,204167;14,3125;28,9;22,816667;16,6;61,416667;34;9,6;2,341667
08/01/2014;0;886,141667;12,508333;28,2;23,004167;15,8;53,5;29;9,2;2,904167
09/01/2014;0;885,516667;12,625;28,5;23,395833;17,5;53,125;28;8,6;2,8625
10/01/2014;0;885,720833;14,158333;28,1;23,345833;17,1;57,125;40;9,7;3,016667
11/01/2014;0;887,0125;14,754167;29;21,795833;16,1;65,916667;32;9,3;2,345833
12/01/2014;0;888,170833;15,654167;29,1;22,695833;17,3;66,583333;39;9,1;2,5125
13/01/2014;0;888,85;14,991667;29,7;24,333333;19,2;57,958333;33;8,3;2,483333
14/01/2014;0;888,375;14,241667;29,3;24,466667;19,7;54,125;34;9,7;3,029167
15/01/2014;0;887,491667;14,391667;28,8;23,025;17,4;59,625;36;10,5;1,8375
16/01/2014;1,8;887,3625;15,283333;28,2;21,595833;16,6;69,666667;36;12,1;2,195833
17/01/2014;0;887,3625;17,0125;28,3;21,079167;18,4;79,125;46;16,3;1,825
18/01/2014;33,2;887,633333;18,1375;24,7;20,2;16,5;88,458333;59;16,3;1,704167
19/01/2014;10;886,325;17,920833;25,9;19,941667;17,7;88,833333;56;9,5;1,620833
20/01/2014;4,8;885,925;17,2625;24;20,204167;17,4;84,458333;58;11,1;2,329167
21/01/2014;1,8;886,920833;17,116667;26,6;20,770833;17,7;81,291667;53;6,6;2,025
22/01/2014;55,2;888,008333;17,375;25,2;19,5875;16,8;87,791667;60;12,6;2,1375
23/01/2014;3,8;887,3125;17,308333;28,3;20,8125;17,2;82,5;43;10,7;1,520833
24/01/2014;0;886,204167;16,720833;27,7;19,65;16,8;84,916667;45;16,8;1,808333
25/01/2014;19,2;885,175;15,8125;25,1;19,8;15,3;79,875;51;6,1;1,675
26/01/2014;0;886,2375;15,3125;26,1;21,0375;15,8;70,916667;49;11,5;2,220833
27/01/2014;1,2;887,8125;16,229167;26,4;20,183333;16,3;80,416667;44;12;2,070833
28/01/2014;4,8;887,433333;15,370833;27,1;21,625;17,5;70,125;37;9,4;3,275
29/01/2014;0;887,516667;13,633333;27,4;22,1375;18,3;59,291667;39;10,6;3,8625
30/01/2014;0;887,475;15,1125;28,1;22,7125;18,9;62,875;45;10,1;3,295833
31/01/2014;0;887,120833;13,8;28;22,9;18,1;57,875;35;10,3;3,8
01/02/2014;0;886,6125;12,6;27,4;22,391667;16,7;55,708333;33;8,7;2,9875
02/02/2014;0;885,945833;12,333333;27,8;21,920833;14,8;55,833333;39;8,7;2,483333
03/02/2014;0;884,983333;12,191667;28,8;23,191667;19,1;51,125;34;10,1;3,129167
04/02/2014;0;885,991667;11,85;27,9;22,829167;17,2;51,458333;32;9,1;2,920833
05/02/2014;0;886,225;13,2375;30;23,516667;16,9;53,875;30;9,7;2,791667
06/02/2014;0;886,054167;14,475;28,5;23,395833;18,8;58,541667;37;10,7;3,95
07/02/2014;0;887,066667;12,720833;29,1;23,683333;19,9;51,458333;32;9,3;3,345833
08/02/2014;0;886,920833;13,283333;29,3;24,1125;20;51,791667;31;8,7;2,775
09/02/2014;0;886,541667;14,720833;27,8;22,5375;16,9;62,875;41;8,2;1,9875
10/02/2014;0;886,6625;14,366667;28,1;22,670833;17,8;62,333333;32;9,5;2,629167
11/02/2014;0;885,920833;14,45;27,9;23,445833;20,2;57,666667;40;9,1;3,320833
12/02/2014;0;885,470833;15,7375;27,7;21,8;17,2;69,625;44;6,6;2,070833
13/02/2014;3;884,8125;17,795833;26,1;20,125;17,8;87,458333;55;10,3;1,3125
14/02/2014;20,8;885,5;16,683333;27,2;21,058333;17,2;78,333333;47;7,7;2,095833
15/02/2014;0;885,5875;17,154167;25,8;20,9125;18,6;80,125;53;7,2;1,541667
16/02/2014;4,2;885,429167;18,566667;25,8;20,483333;18,7;89,5;56;7,2;1,625
17/02/2014;28,4;884,779167;17,670833;26,8;20,970833;17,3;83;52;11,9;2,695833
18/02/2014;22,2;884,645833;18,283333;25,1;19,841667;17,7;91,5;58;9,6;2,066667
19/02/2014;11,2;885,029167;17,5875;26,2;20,179167;18,3;86,375;51;10,3;2,275
20/02/2014;11,2;885,8;17,808333;24;20,179167;18,1;86,958333;62;8,9;2,491667
21/02/2014;1,8;886,2125;17,9375;24,6;20,104167;18,3;88,166667;61;9,8;2,170833
22/02/2014;7,4;886,6625;17,566667;25,1;20,1875;18,1;85,75;62;12,1;2,329167
23/02/2014;2,4;886,833333;17,120833;26,1;20,475;16,9;82,458333;50;7,6;2,033333
24/02/2014;0,6;886,458333;16,333333;28,6;22,6125;18;69,333333;42;8,3;2,45
25/02/2014;11,4;887,025;17,254167;25,9;20,708333;16,8;82,166667;51;15,5;1,416667
26/02/2014;0;885,7875;16,129167;28;22,529167;17,2;69,333333;42;10,4;2,9
27/02/2014;0;885,2875;14,066667;29,3;22,683333;15,6;61,583333;28;7,8;1,7625
28/02/2014;0;885,05;16,491667;27,7;21,6;17,2;74,208333;47;9,5;2,316667
01/03/2014;1,6;885,3625;16,758333;26,6;20,504167;17,6;80,416667;48;8,1;2,333333
02/03/2014;0,2;884,466667;16,95;28;21,629167;17,2;77,25;44;7,8;2,0625
03/03/2014;0,8;884,645833;17,5375;25,8;21,316667;18,4;79,75;58;8,9;2,575
04/03/2014;7,8;886,154167;17,808333;26,3;21,570833;18,3;80,791667;52;8,9;2,316667
05/03/2014;2,6;887;19,466667;26,8;21,158333;19,2;90,541667;60;8;1,6
06/03/2014;37,6;886,420833;18,704167;25,9;20,4875;18,2;90,541667;58;7,3;1,583333
07/03/2014;12,6;885,633333;18,6375;26,1;20,641667;18,4;89,375;57;11,1;2,3125
08/03/2014;26,2;885,429167;18,166667;27,8;20,641667;17,8;87,291667;51;7,8;2,229167
09/03/2014;6,4;886,283333;18,3;25,6;20,6375;17,3;87,416667;62;6,7;2,020833
10/03/2014;62,4;886,429167;17,325;27,5;21,258333;15,9;80,666667;50;10,4;2,079167
11/03/2014;0;886,1125;17,241667;27,4;21,958333;17,4;76,25;49;8,8;2,383333
12/03/2014;10;887,141667;16,583333;27,7;22,516667;18,3;71,916667;45;8,3;2,325
13/03/2014;0;887,708333;14,766667;28,4;22,5375;15,1;64,25;34;8;2,645833
14/03/2014;0;886,75;15,491667;27,4;22,625;19,8;64,708333;45;8,8;2,9375
15/03/2014;0;886,508333;14,6;28,3;23,283333;19,2;59,583333;37;9,4;2,808333
16/03/2014;0;886,316667;14,620833;27,7;22,866667;18,2;60,916667;37;8,1;2,491667
17/03/2014;0;886,545833;16,258333;26,7;21,466667;18,2;73,541667;52;8;2,0375
18/03/2014;9;887,316667;17,508333;26,1;20,2375;17,4;85,458333;58;7,2;1,445833
19/03/2014;0,4;886,183333;17,220833;27,7;20,8875;16,2;81,833333;49;7,6;1,795833
20/03/2014;0;885,408333;17,541667;28;21,833333;16,9;78,875;45;9,4;1,329167
21/03/2014;12,4;886,616667;18,8;26,9;21,016667;18,1;88,125;57;7;1,329167
22/03/2014;12,2;887,55;18,529167;27,6;20,616667;18,4;89,125;54;18,5;1,858333
23/03/2014;36,4;886,195833;18,616667;27,2;20,620833;16,6;89,25;58;9,5;1,7875
24/03/2014;30;887,079167;18,625;23,3;19,983333;18,1;92,291667;68;8,1;2,482609
25/03/2014;1,2;887,745833;17,8875;25,8;20,975;18,5;83,708333;57;8,7;2,329167
26/03/2014;3,2;887,891667;18,491667;26,6;21,066667;18,7;86,708333;53;8,1;2,5375
27/03/2014;6,2;887,570833;19,270833;23,6;20,0125;18,6;95,5;74;6,3;1,65
28/03/2014;4,2;886,525;18,175;26,1;20,1125;18,2;89,5;60;6,4;1,983333
29/03/2014;0;885,970833;17,75;26,6;21,095833;18,4;82,666667;47;9,7;2,458333
30/03/2014;1,8;886,7;17,825;25,9;20,341667;18;86,666667;54;9,4;2,095833
31/03/2014;18,4;888,1;17,770833;26,4;21,020833;17,8;82,958333;52;8,9;1,895833
01/04/2014;2,8;888,008333;18,35;27,9;21,55;18,3;84,083333;46;6,3;1,65
02/04/2014;16,6;886,625;18,4875;28,7;21,65;17,4;84,416667;48;7,7;1,879167
03/04/2014;6,2;886,408333;19,225;22;19,658333;19,3;97,458333;76;8,4;1,408333
04/04/2014;19,4;887,3625;17,495833;28,2;21,033333;16,2;82,166667;51;6,1;1,566667
05/04/2014;6,4;888,0375;18,895833;27,8;22,283333;19;82,875;51;7,9;2,445833
06/04/2014;0;888,175;18,591667;27,5;22,720833;19,6;78,958333;53;7,4;2,745833
07/04/2014;0;887,091667;18,045833;28,8;22,4125;17,7;78,708333;43;5,9;1,704167
08/04/2014;5,2;886,6125;18,254167;28;22,129167;18,7;80,541667;50;6,4;1,6375
09/04/2014;0;886,458333;18,304167;28,5;23,008333;18,7;77,083333;48;7,2;1,5625
10/04/2014;16,8;886,533333;18,375;28,7;21,520833;17,3;84,25;46;14,4;1,958333
11/04/2014;20,6;887,079167;18,316667;28;21,775;17,1;83,083333;47;8,7;1,779167
12/04/2014;3,6;887,554167;18,716667;27,3;21,2;18,7;87,625;52;7;2,217391
13/04/2014;26,2;886,975;17,554167;27,9;22,4125;17,7;76,916667;47;6,9;1,7875
14/04/2014;0;886,2;16,654167;28,8;22,983333;17,2;70,416667;40;7,8;1,641667
15/04/2014;0;886,15;18,179167;28;22,420833;18,8;78,416667;48;8,1;2,133333
16/04/2014;16,4;886,683333;17,983333;25;20,7;17,8;85,583333;56;8,6;1,804167
17/04/2014;0;886,4875;17,8;27,8;21,829167;17,6;80,333333;45;7,6;1,791667
18/04/2014;0;886,083333;17,6;27,3;22,345833;17,9;76,166667;49;7,5;1,775
19/04/2014;0;887,2;15,0625;28,6;22,5875;17,3;67,291667;30;7,7;1,6125
20/04/2014;0;887,716667;15,2125;29,3;22,291667;16,7;65,708333;41;7,8;1,575
21/04/2014;0;886,929167;17,016667;27,5;22,383333;18,9;72,416667;52;8,4;1,95
22/04/2014;0,8;886,379167;17,566667;28,3;22,045833;17,6;77,875;45;11,1;2,25
23/04/2014;14,2;887,258333;18,620833;24,8;19,929167;18,5;92,833333;63;7,9;1,75
24/04/2014;23;887,079167;17,8;24,9;20,029167;16,2;88,083333;64;6,3;1,479167
25/04/2014;16,6;885,458333;18,3375;26,7;20,525;18,2;88,666667;55;8,4;1,734783
26/04/2014;23,2;885,858333;17,166667;26,2;20,8375;17,6;81,333333;52;6,7;1,9625
27/04/2014;0;887,25;16,266667;26,2;21,008333;17,4;76,25;47;6,6;2,266667
28/04/2014;0;888,808333;13,779167;25;20,2625;16,5;68,041667;41;8,7;2,845833
29/04/2014;0;888,829167;11,795833;23,4;18,516667;14,5;66,5;43;8,9;3,075
30/04/2014;0;886,966667;9,829167;23,9;18,533333;14,2;57,958333;37;9,9;3,633333
01/05/2014;0;886,616667;10,541667;25,8;18,779167;10,8;62,083333;32;6,9;1,8
02/05/2014;0;887,783333;11,020833;26,2;19,875;12;59,416667;31;6,8;2,05
03/05/2014;0;889,1625;11,379167;26,2;19,833333;12,3;59,708333;39;8,1;2,545833
04/05/2014;0;889,404167;12,1875;26,1;20,566667;15,8;59,916667;40;7,5;2,529167
05/05/2014;0;888,504167;13,170833;25,7;19,7625;13,5;68,166667;39;7,3;1,791667
06/05/2014;0;888,520833;13,454167;26;20,35;14,8;67,333333;38;7,5;2,0375
07/05/2014;0;889,241667;13,545833;26,4;20,445833;13,8;66,916667;38;7,3;2,0125
08/05/2014;0;888,554167;16,3375;24,8;20,558333;16,3;78,125;53;6,9;1,6625
09/05/2014;0;886,225;15,975;26,3;20,945833;16,6;75,25;47;6,3;1,166667
10/05/2014;0;886,208333;13,204167;26,5;20,804167;16,5;63,166667;39;6,3;1,858333
11/05/2014;0;887,679167;13,204167;26,5;19,829167;14,5;66,583333;48;8,2;2,545833
12/05/2014;0;888,2375;13,5375;23,8;19,416667;15,2;69,625;52;9,1;3,216667
13/05/2014;0;888,125;12,4375;23,9;18,908333;14,7;67,5;45;7,3;2,216667
14/05/2014;0;888,083333;9,9375;25,1;18,883333;12;58,583333;32;7,1;2,095833
15/05/2014;0;887,916667;10,691667;27,4;19,4125;12,1;60,833333;27;6,5;1,7625
16/05/2014;0;886,658333;12,958333;27;20,3375;13,1;65,125;42;6,1;1,479167
17/05/2014;0;886,616667;13,8625;26,8;21,25;14,8;64,625;42;6,7;1,833333
18/05/2014;0;887,1;14,329167;27,7;22,004167;17,1;62,208333;44;5,9;1,8625
19/05/2014;0;887,625;15,7625;27,1;21,775;16,8;70,208333;46;6,1;1,970833
20/05/2014;0;887,6875;13,854167;25,8;21,795833;19;61,583333;43;7,8;2,570833
21/05/2014;0;886,804167;12,158333;27,2;20,658333;14;60,166667;35;8,9;2,141667
22/05/2014;0;887,266667;12,004167;27,5;20,9625;14,4;58,958333;34;5,5;1,533333
23/05/2014;0;888,158333;12,9875;28,5;21,408333;15,3;61,833333;32;6;0,9875
24/05/2014;0;888,116667;15,495833;27,6;21,35;16,5;71;44;6,8;1,933333
25/05/2014;0;887,216667;15,0375;28,5;22,2125;18;65,708333;38;9,1;2,120833
26/05/2014;0;888,4;15,620833;27,5;20,9625;16,4;72,625;46;5,3;1,316667
27/05/2014;2,4;888,516667;17,654167;25,2;20,208333;17,4;86,541667;62;5,8;1,479167
28/05/2014;0;887,804167;11,1125;26,7;20,133333;13,7;60,208333;26;8,6;2,145833
29/05/2014;0;887,233333;7,379167;26,8;18,65;11,1;53,041667;21;7,3;1,866667
30/05/2014;0;887,979167;8,245833;25,7;18,479167;11,7;53,875;30;6,7;1,604167
31/05/2014;0;887,745833;13,441667;26;19,270833;13,9;70,708333;43;8,2;2,3125
01/06/2014;0;886,441667;13,75;27,4;20,220833;14,1;70,083333;34;6,2;1,5125
02/06/2014;0;884,883333;13,245833;25,2;20,470833;16,3;64,625;41;7,5;1,783333
03/06/2014;0;885,416667;14,775;25,1;19,083333;15;77,75;51;7,2;1,2
04/06/2014;7,4;886,175;15,595833;26,5;19,120833;14;82,375;49;6,8;0,883333
05/06/2014;0;886,475;15,383333;26,6;20,179167;14,5;76,666667;40;5,3;1,270833
06/06/2014;0,2;886,104167;13,979167;27,1;20,520833;14,5;69,625;35;5,6;0,920833
