Semana epidem. 1º Sintomas(s);Ign/Branco;Analfabeto;1ª a 4ª série incompleta do EF;4ª série completa do EF;5ª a 8ª série incompleta do EF;Ensino fundamental completo;Ensino médio incompleto;Ensino médio completo;Educação superior incompleta;Educação superior completa;Não se aplica;Total
Semana 01;25;-;2;-;1;2;1;-;-;-;11;42
Semana 02;23;-;-;-;3;-;-;1;2;3;18;50
Semana 03;41;-;2;1;2;3;2;-;-;1;11;63
Semana 04;26;-;-;1;1;1;-;1;-;-;11;41
Semana 05;32;-;1;-;-;-;-;1;-;-;14;48
Semana 06;36;-;1;-;-;2;2;1;2;-;13;57
Semana 07;30;-;-;-;-;1;3;4;1;3;13;55
Semana 08;25;1;2;-;-;1;1;3;-;1;11;45
Semana 09;30;-;-;-;1;-;-;1;2;1;18;53
Semana 10;32;1;1;1;3;-;-;4;1;-;6;49
Semana 11;39;-;-;1;-;-;-;3;3;1;12;59
Semana 12;30;-;-;-;2;-;-;4;1;3;10;50
Semana 13;38;-;1;-;1;-;-;3;1;2;12;58
Semana 14;48;-;1;1;1;-;3;4;1;-;7;66
Semana 15;56;-;1;-;1;1;2;6;2;3;9;81
Semana 16;48;-;2;-;2;-;4;2;3;1;4;66
Semana 17;42;-;2;1;-;-;2;3;1;2;2;55
Semana 18;37;-;-;-;2;-;-;6;3;1;9;58
Semana 19;63;-;2;3;3;-;3;7;1;-;17;99
Semana 20;50;-;1;-;4;3;-;5;2;1;9;75
Semana 21;33;-;-;-;3;-;3;2;-;1;3;45
Semana 22;34;-;1;1;3;-;-;8;1;-;5;53
Semana 23;28;-;-;-;-;2;2;3;-;-;4;39
Semana 24;37;-;1;-;-;3;1;-;-;1;3;46
Semana 25;32;-;-;-;-;1;2;5;1;2;4;47
Semana 26;31;-;2;-;1;1;-;1;-;1;2;39
Semana 27;22;-;-;-;-;-;-;-;-;1;4;27
Semana 28;25;-;2;-;-;-;-;-;-;-;4;31
Semana 29;15;-;-;-;-;-;1;2;-;1;4;23
Semana 30;16;-;1;-;1;1;-;3;-;-;2;24
Semana 31;13;-;-;1;-;-;1;1;1;3;3;23
Semana 32;7;-;-;-;-;-;2;-;-;1;3;13
Semana 33;10;-;-;-;1;-;-;-;-;1;3;15
Semana 34;15;-;-;-;-;1;1;1;2;-;-;20
Semana 35;10;-;-;1;-;-;1;1;-;1;3;17
Semana 36;13;-;-;-;1;-;-;1;-;-;5;20
Semana 37;13;-;-;-;-;-;-;1;-;1;4;19
Semana 38;13;-;1;-;1;1;-;2;-;1;5;24
Semana 39;10;-;-;1;-;-;-;-;-;1;14;26
Semana 40;14;-;1;-;1;1;-;-;-;1;10;28
Semana 41;18;-;1;1;1;1;-;-;1;1;4;28
Semana 42;20;-;-;1;1;-;1;-;-;1;6;30
Semana 43;19;-;1;1;-;-;-;5;1;-;8;35
Semana 44;34;-;-;-;1;1;1;3;-;3;3;46
Semana 45;31;-;2;-;2;-;-;2;1;-;2;40
Semana 46;25;-;1;1;1;1;-;4;-;-;5;38
Semana 47;39;-;2;2;5;-;3;6;1;1;7;66
Semana 48;52;-;2;1;1;-;1;1;-;5;9;72
Semana 49;48;-;-;1;-;-;5;7;-;2;10;73
Semana 50;59;-;1;2;1;2;-;6;3;4;6;84
Semana 51;74;1;1;-;1;2;1;11;-;5;10;106
Semana 52;58;-;-;1;2;1;-;5;2;1;7;77

