DENGUE - Notificações registradas no Sistema de Informação de Agravos de Notificação - Distrito Federal
Casos Prováveis por Semana epidem. notificação e Faixa Etária
Período:2014
"Semana epidem. notificação";"<1 Ano";"1-4";"5-9";"10-14";"15-19";"20-39";"40-59";"60-64";"65-69";"70-79";"80 e +";"Total"
"Semana 01";-;-;1;2;1;10;6;2;-;-;-;22
"Semana 02";-;4;2;13;8;50;34;2;1;3;-;117
"Semana 03";4;2;1;7;10;40;30;11;3;2;1;111
"Semana 04";3;7;12;17;17;71;49;5;5;4;1;191
"Semana 05";5;1;10;9;14;75;53;6;2;3;2;180
"Semana 06";6;5;17;32;36;145;79;9;10;2;1;342
"Semana 07";7;10;25;37;47;199;114;8;7;6;2;462
"Semana 08";1;4;12;17;16;80;51;8;6;3;1;199
"Semana 09";3;5;13;19;20;92;50;8;6;3;1;220
"Semana 10";4;4;3;16;16;81;53;6;3;2;-;188
"Semana 11";4;7;7;13;38;101;73;6;5;7;2;263
"Semana 12";6;3;8;23;28;93;54;8;5;2;2;232
"Semana 13";3;1;18;18;32;100;65;13;11;5;2;268
"Semana 14";8;6;16;28;33;137;92;14;7;8;2;351
"Semana 15";6;10;11;26;38;201;120;21;14;12;-;459
"Semana 16";8;15;24;38;58;179;142;12;11;16;4;507
"Semana 17";5;9;23;46;50;212;131;23;11;14;1;525
"Semana 18";7;9;34;39;54;215;138;22;12;14;2;546
"Semana 19";10;7;23;47;83;308;219;16;14;12;1;740
"Semana 20";13;14;28;75;69;260;168;20;6;19;8;680
"Semana 21";12;16;34;76;95;348;208;19;19;16;5;848
"Semana 22";6;15;37;69;92;305;195;31;13;18;7;788
"Semana 23";13;13;34;58;68;234;177;18;10;20;7;652
"Semana 24";11;5;18;43;56;195;95;16;7;8;-;454
"Semana 25";7;14;10;28;32;148;76;3;11;7;2;338
"Semana 26";14;5;15;30;37;141;110;12;3;17;3;387
"Semana 27";5;7;8;20;35;124;62;15;2;4;2;284
"Semana 28";10;9;13;26;30;140;63;9;23;8;3;334
"Semana 29";3;8;15;26;29;129;82;11;9;6;2;320
"Semana 30";4;10;9;23;26;101;56;9;1;5;1;245
"Semana 31";4;3;7;16;19;81;66;7;4;8;2;217
"Semana 32";2;2;3;8;9;35;21;5;2;6;1;94
"Semana 33";3;3;2;3;4;27;17;2;-;-;-;61
"Semana 34";2;4;3;4;9;44;27;6;2;3;1;105
"Semana 35";-;1;1;4;4;29;14;1;-;-;-;54
"Semana 36";2;-;3;3;9;14;15;1;1;1;-;49
"Semana 37";-;-;-;1;3;13;7;1;-;1;-;26
"Semana 38";-;1;-;3;3;11;9;1;-;-;-;28
"Semana 39";-;3;1;2;2;6;5;2;-;-;-;21
"Semana 40";-;2;2;-;5;10;6;1;-;1;-;27
"Semana 41";-;-;1;1;-;5;2;-;-;-;1;10
"Semana 42";-;1;-;-;-;-;4;-;-;-;-;5
"Semana 43";-;-;-;-;-;3;2;-;1;-;-;6
"Semana 44";-;-;-;1;-;2;1;1;-;-;-;5
"Semana 45";-;-;-;2;2;3;4;1;-;-;-;12
"Semana 46";1;1;-;-;-;8;7;1;-;-;-;18
"Semana 47";-;1;2;2;4;10;7;1;1;-;-;28
"Semana 48";1;1;1;-;2;6;2;1;1;-;-;15
"Semana 49";1;2;-;1;1;5;10;-;-;1;-;21
"Semana 50";1;3;4;-;2;8;2;-;2;2;-;24
"Semana 51";-;1;1;1;-;6;4;-;-;-;-;13
"Semana 52";2;-;-;2;2;11;2;1;2;-;-;22
"Semana 53";-;1;-;2;-;12;4;-;1;-;1;21
"Total";207;255;512;977;1248;4863;3083;396;254;269;71;12135
 Fonte: Ministério da Saúde/SVS - Sistema de Informação de Agravos de Notificação - Sinan Net
 Notas:
 
 Incluídas notificações de indivíduos residentes no Brasil, inclusive os casos descartados.
 As bases de dados de dengue aqui disponíveis compõem um banco único a partir de 2014, podendo haver pequenas divergências com os dados disponibilizados pelo CGARB (Coordenação Geral de Vigilância de Arboviroses-CGARB) em sua série histórica, que par
 Para tabular os casos graves (classificação final igual a dengue com complicações, febre hemorrágica da dengue, síndrome do choque da dengue, dengue com sinais de alarme e dengue grave) é necessário considerar também o critério de confirmação (labor
 Períodos Disponíveis ou período - Correspondem aos anos de notificação dos casos.
 Para cálculo da incidência utilize locais de residência.
 Dados de 2014 atualizados em 13/07/2015.
 Dados de 2015 atualizados em 27/09/2016.
 Dados de 2016 atualizados em 06/07/2017.
 Dados de 2017 atualizados em 18/07/2018.
 Dados de 2018 atualizados em 01/10/2019.
 Dados de 2019 atualizados em 10/07/2020.
 *Data da publicação dos dados 11/2020.
 
